end_date,beta,se,p,ci_low,ci_high
2020-08-27,-0.6099604582065529,0.106668829421969,1.0761826125589161e-08,-0.8190313638736121,-0.40088955253949365
2020-09-03,-0.6287944559918789,0.12314585293833466,3.288839406534804e-07,-0.8701603277510148,-0.38742858423274296
2020-09-10,-0.6609115357944542,0.14735248642709417,7.28312836222391e-06,-0.9497224091915588,-0.37210066239734957
2020-09-17,-0.672536594372351,0.1805758306530829,0.00019578042296852075,-1.0264652224523936,-0.31860796629230853
2020-09-24,-0.7967027220554291,0.18251430663090068,1.2703429263176635e-05,-1.1544307630519945,-0.43897468105886384
2020-10-01,-0.9033306287029305,0.17664472629950992,3.156959595889104e-07,-1.2495542922499698,-0.5571069651558911
2020-10-08,-1.0052396396179897,0.18226031475494944,3.4797563062367534e-08,-1.3624698565376905,-0.6480094226982888
2020-10-15,-1.1143891064642857,0.18511882374696942,1.7456971490461315e-09,-1.4772220010083457,-0.7515562119202257
2020-10-22,-1.1858277657705574,0.20229248173172437,4.574716093843867e-09,-1.5823210299647372,-0.7893345015763776
2020-10-29,-1.2558081210423315,0.2179673505388189,8.339407594693786e-09,-1.6830241280984166,-0.8285921139862464
2020-11-05,-1.276757836045571,0.24553200157245356,1.9932596314504753e-07,-1.7580005591275798,-0.795515112963562
2020-11-12,-1.2546185481455785,0.2843933354853353,1.026280306988109e-05,-1.8120294856968355,-0.6972076105943213
2020-11-19,-1.210250372190973,0.3166758239454196,0.00013251725105485992,-1.8309349871239955,-0.5895657572579506
2020-11-26,-1.0267078194469585,0.35242544123615005,0.0035767380437585583,-1.7174616842698125,-0.3359539546241045
2020-12-03,-0.8043413909455787,0.3986734936885454,0.04363875432706096,-1.5857414385751276,-0.022941343316029705
2020-12-10,-0.546736225122497,0.4665019094185695,0.24120050963468487,-1.4610799675828932,0.3676075173378992
2020-12-17,-0.32519428668249983,0.5593921188662053,0.5610146126326432,-1.4216028396602622,0.7712142662952627
2020-12-24,-0.04551139507639368,0.552043581631888,0.9342955005163266,-1.1275168150748942,1.0364940249221068
2020-12-31,0.0899408590588241,0.4315502274903717,0.8349061782994596,-0.7558975868223045,0.9357793049399526
2021-01-07,0.037145738982174825,0.3177203331941217,0.9069287427177972,-0.5855861140783036,0.6598775920426534
2021-01-14,-0.07337705255127516,0.2164777774018622,0.7346407505377464,-0.4976734962589251,0.3509193911563747
2021-01-21,-0.011653017260541576,0.16123564318260541,0.9423844854296554,-0.3276748778984482,0.30436884337736503
2021-01-28,0.12595404375705566,0.16788546395721723,0.45311141540961686,-0.2031014655990901,0.4550095531132014
