Date,Price,Returns,Energy_TWh_Annual,Google_Trends,EPU,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR_raw,CEIR
2023-12-25,43527.0,0.002297477369839207,144.793495234909,35.0,107.00157900354,914067000000.0,19834725.37464507,20740128183.374798,32.50061880236253,32.50061880236253
2023-12-26,42327.0,-2.756909504445515,147.467275309416,35.0,107.00157900354,888867000000.0,20200996.617728222,20760329179.992527,31.2551402424455,31.2551402424455
2023-12-27,43394.0,2.5208495759208027,149.417380858672,35.0,107.00157900354,911274000000.0,20468134.364201646,20780797314.356728,32.30261042660958,32.30261042660958
2023-12-28,42471.0,-2.127022168963455,149.712645665599,35.0,107.00157900354,891891000000.0,20508581.59802726,20801305895.954754,31.338945894102434,31.338945894102434
2023-12-29,41927.0,-1.2808740081467374,148.913182554893,35.0,107.00157900354,880467000000.0,20399066.10341,20821704962.058163,30.759584825886023,30.759584825886023
2023-12-30,42299.54,0.8885443747465915,146.934379298829,35.0,107.00157900354,888290340000.0,20127997.16422315,20841832959.222385,31.10524593822423,31.10524593822423
2023-12-31,42505.0,0.4857263223193353,145.349720898538,35.0,107.00157900354,892605000000.0,19910920.671032608,20861743879.893417,31.282380023320187,31.282380023320187
2024-01-01,43622.0,2.627926126338087,144.168974619823,40.0,131.273678598285,916062000000.0,19749174.605455205,20881493054.49887,32.37613317378874,32.37613317378874
2024-01-02,45124.0,3.4432167255054713,142.500161516833,40.0,131.273678598285,947604000000.0,19520570.070799045,20901013624.56967,33.85500879097048,33.85500879097048
2024-01-03,42939.0,-4.842212569807636,141.176749551019,40.0,131.273678598285,901719000000.0,19339280.76041356,20920352905.330086,31.630393760298723,31.630393760298723
2024-01-04,44488.0,3.6074431169798915,141.186298684532,40.0,131.273678598285,934248000000.0,19340588.860894796,20939693494.19098,33.15464002338888,33.15464002338888
2024-01-05,43960.11,-1.1865896421506927,141.850820437579,40.0,131.273678598285,923162310000.0,19431619.238024518,20959125113.429005,32.59498220000995,32.59498220000995
2024-01-06,43919.0,-0.09351659948075852,144.652373937873,40.0,131.273678598285,922299000000.0,19815393.69011959,20978940507.119125,32.52304375277981,32.52304375277981
2024-01-07,44257.0,0.7695985792026239,146.562516538687,40.0,131.273678598285,929397000000.0,20077057.060094107,20999017564.17922,32.829964444431674,32.829964444431674
2024-01-08,47111.0,6.448697381205237,149.240788035805,40.0,131.273678598285,989331000000.0,20443943.56654863,21019461507.745766,35.64939090965143,35.64939090965143
2024-01-09,45406.0,-3.619112309227146,147.881846967979,40.0,131.273678598285,953526000000.0,20257787.25588753,21039719295.00165,33.91328515345309,33.91328515345309
2024-01-10,45947.0,1.1914724926221254,139.726863421692,40.0,131.273678598285,964887000000.0,19140666.222149592,21058859961.2238,34.42194882983943,34.42194882983943
2024-01-11,46153.0,0.44834265566848774,137.683269911866,40.0,131.273678598285,969213000000.0,18860721.905735068,21077720683.129536,34.5963878619787,34.5963878619787
2024-01-12,43415.72,-5.930882066171206,137.683269911866,40.0,131.273678598285,911730120000.0,18860721.905735068,21096581405.03527,31.840709501856704,31.840709501856704
2024-01-13,42951.0,-1.0703956999907005,137.683269911866,40.0,131.273678598285,901971000000.0,18860721.905735068,21115442126.941006,31.35008947576793,31.35008947576793
2024-01-14,42516.0,-1.0127820074037897,137.683269911866,40.0,131.273678598285,892836000000.0,18860721.905735068,21134302848.84674,30.88987626746458,30.88987626746458
