Date,Price,Returns,Energy_TWh_Annual,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR,CEIR_winsorized,fear_greed,volatility_30d,EPUREG,weighted_elec_price,daily_energy_gwh,daily_elec_cost_enhanced,CEIR_enhanced
2018-03-05,11558.85,3.923689406281361,53.758681239354,242735850000.0,7364202.909500548,393154921.3283515,6.9587072463862105,6.9587072463862105,55.0,115.80719602140334,201.15120954642026,0.076,147.28405819001094,11193.58842244083,589934.0450836829
2018-03-06,10790.0,-6.651613266025603,53.9878317092531,226590000000.0,7395593.384829192,400550514.7131807,-33.47892340021683,-33.47892340021683,59.0,114.8276503405218,199.31834299747686,0.076,147.91186769658384,11241.301944940373,601175.3470286232
2018-03-07,9941.5,-7.863762743280811,54.2027222601195,208771500000.0,7425030.4465917135,407975545.1597724,-76.54502915798597,-76.54502915798597,37.0,102.630085306445,176.49499808782335,0.076,148.50060893183425,11286.046278819404,612461.3933074427
2018-03-08,9318.99,-6.261731127093495,54.4012409667931,195698790000.0,7452224.789971657,415427769.9497441,-106.63998221726798,-106.63998221726798,39.0,100.9193074739706,173.2938942260879,0.076,149.04449579943315,11327.381680756918,623788.7749881996
2018-03-09,8981.78,-3.618525183523104,54.689904698652,188617380000.0,7491767.7669386305,422919537.7166827,-121.49502545427836,-121.49502545427836,37.0,101.47466171921073,174.3330394530857,0.076,149.8353553387726,11387.487005746716,635176.2619939463
2018-03-10,8812.98,-1.8793602159037688,54.8769749435795,185072580000.0,7517393.827887603,430436931.5445703,-127.60852049311772,-127.60852049311772,39.0,101.77411919818843,174.89336615020835,0.076,150.34787655775204,11426.438618389157,646602.7006123355
2018-03-11,9640.66,9.391601932603956,55.0662739588949,202453860000.0,7543325.199848616,437980256.74441886,-85.7256449847461,-85.7256449847461,40.0,105.58669809965113,182.02723287034894,0.076,150.8665039969723,11465.854303769896,658068.5549161053
2018-03-12,9014.07,-6.499451282381086,55.259077710308,189295470000.0,7569736.672644931,445549993.4170638,-113.8021114334015,-113.8021114334015,41.0,107.66294937626935,185.912188504771,0.076,151.3947334528986,11505.999742420294,669574.5546585256
2018-03-13,9060.33,0.5131977009275479,55.4455428219008,190266930000.0,7595279.838616549,453145273.2556803,-109.75083033016406,-109.75083033016406,41.0,107.56149918531568,185.7223610520936,0.076,151.90559677233097,11544.825354697152,681119.3800132228
2018-03-14,8300.0,-8.39185769171763,55.6187077009492,174300000000.0,7619001.05492455,460764274.3106049,-142.58917989746556,-142.58917989746556,40.0,108.6235044458739,187.70952097211622,0.076,152.38002109849094,11580.881603485312,692700.2616167081
2018-03-15,8250.01,-0.602289156626501,55.7830945105591,173250210000.0,7641519.7959670015,468405794.1065719,-142.50419367103956,-142.50419367103956,32.0,108.07401871532643,186.68135655436714,0.076,152.83039591934,11615.110089869839,704315.371706578
2018-03-16,8529.89,3.3924807363869824,56.057908101699,179127690000.0,7679165.493383424,476084959.59995526,-127.86018287817744,-127.86018287817744,33.0,104.39467972973776,179.7968002947349,0.076,153.5833098676685,11672.331549942804,715987.7032565208
2018-03-17,7850.0,-7.970677230304258,56.2173988297775,164850000000.0,7701013.538325686,483785973.1382809,-155.33728585082358,-155.33728585082358,31.0,105.2245433432952,181.34959082524477,0.076,154.0202707665137,11705.540578255042,727693.2438347759
2018-03-18,7495.12,-4.520764331210192,56.3704104994567,157397520000.0,7721974.041021467,491507947.1793024,-157.19089774797308,-157.19089774797308,29.0,105.58566144524605,182.02529314541425,0.076,154.4394808204293,11737.400542352627,739430.6443771285
2018-03-19,8424.0,12.393130463554948,56.5348147928874,176904000000.0,7744495.177107865,499252442.3564103,-126.38095409647796,-126.38095409647796,29.0,111.42506882487498,192.95163855295357,0.076,154.88990354215727,11771.632669203951,751202.2770463324
2018-03-20,8914.65,5.824430199430197,56.7064348176049,187207650000.0,7768004.7695349185,507020447.1259452,-104.12272384526976,-104.12272384526976,37.0,113.69985550749591,197.20808161419552,0.076,155.36009539069838,11807.367249693076,763009.6442960254
2018-03-21,8906.73,-0.0888425232622669,56.886303438556,187041330000.0,7792644.3066515075,514813091.4325968,-102.86970335705566,-102.86970335705566,36.0,113.03159773460781,195.95767814460368,0.076,155.85288613303013,11844.81934611029,774854.4636421357
2018-03-22,8602.52,-3.415507150211128,57.1741312907128,180652920000.0,7832072.779549699,522645164.21214646,-113.55138067614546,-113.55138067614546,36.0,111.16674319124031,192.46827527356317,0.076,156.64145559099398,11904.750624915543,786759.2142670513
2018-03-23,8617.65,0.17587869600999,57.3468686772773,180970650000.0,7855735.435243466,530500899.64739,-111.27097058503628,-111.27097058503628,28.0,103.67777672918831,178.45537482148723,0.076,157.11470870486932,11940.717861570069,798699.9321286214
2018-03-24,8923.44,3.5484151711893785,57.5155371632682,187392240000.0,7878840.707297014,538379740.354687,-97.7149696705559,-97.7149696705559,32.0,103.95219972515667,178.9688585102914,0.076,157.57681414594026,11975.83787509146,810675.7700037129
2018-03-25,8536.74,-4.333530566687294,57.6926136685122,179271540000.0,7903097.76280989,546282838.1174968,-111.16669930410346,-111.16669930410346,30.0,104.93801516125626,180.81345664545225,0.076,158.06195525619782,12012.708599471032,822688.4786031839
2018-03-26,7888.0,-7.599388056799194,57.8558910818018,165648000000.0,7925464.531753672,554208302.6492505,-134.1589428461814,-134.1589428461814,31.0,107.17837033577365,185.00547355417845,0.076,158.50929063507343,12046.70608826558,834735.1846914495
2018-03-27,7992.17,1.3206135902636973,58.013245379152,167835570000.0,7947019.914952329,562155322.5642028,-128.3709805874127,-128.3709805874127,24.0,107.28889304247757,185.21227694882361,0.076,158.9403982990466,12079.470270727541,846814.654962177
2018-03-28,7900.21,-1.1506261753691405,58.2870164782249,165904410000.0,7984522.805236288,570139845.3694391,-129.96037832084434,-129.96037832084434,24.0,99.51610903545122,170.66831429685254,0.076,159.69045610472574,12136.474663959156,858951.1296261362
2018-03-29,7101.0,-10.116313363821972,58.4315182516719,149121000000.0,8004317.568722179,578144162.9381613,-157.19089774797308,-157.19089774797308,18.0,103.36836786516912,177.8764276954104,0.076,160.08635137444358,12166.562704457712,871117.6923305938
2018-03-30,6844.04,-3.618645261230813,58.5641984618036,143724840000.0,8022492.939973095,586166655.8781344,-157.19089774797308,-157.19089774797308,12.0,103.67653269476929,178.45304705963105,0.076,160.4498587994619,12194.189268759104,883311.8815993529
2018-03-31,6903.6,0.8702462288356028,58.6977569577183,144975600000.0,8040788.624344974,594207444.5024793,-157.19089774797308,-157.19089774797308,16.0,102.38376175335978,176.03409237461508,0.076,160.81577248689945,12221.998709004358,895533.8803083573
2018-04-01,6817.19,-1.2516657975549128,58.82648154274,143160990000.0,8058422.129142466,602265866.6316218,-157.19089774797308,-157.19089774797308,16.0,102.05843583940731,175.42536222876697,0.076,161.1684425828493,12248.801636296546,907782.6819446539
2018-04-02,6936.47,1.7496945222298388,58.9587829436702,145665870000.0,8076545.608721946,610342412.2403438,-154.5593557126956,-154.5593557126956,11.0,101.81054397242256,174.96152198157955,0.076,161.5309121744389,12276.349325257355,920059.0312699112
2018-04-03,7407.89,6.796252272409453,59.0985470782528,155565690000.0,8095691.380582576,618438103.6209264,-136.52831141166922,-136.52831141166922,22.0,105.81785699041647,182.4597633859175,0.076,161.9138276116515,12305.450898485515,932364.4821683967
2018-04-04,6827.05,-7.84082916997958,59.3486473886824,143368050000.0,8129951.697079781,626568055.3180062,-154.22418870517706,-154.22418870517706,22.0,106.60506168030092,183.93273312221615,0.076,162.59903394159562,12357.526579561267,944722.008747958
2018-04-05,6717.5,-1.6046462234786674,59.4766048096626,141067500000.0,8147480.110912685,634715535.4289188,-155.86903814028253,-155.86903814028253,17.0,105.03092543148863,180.98730471572188,0.076,162.9496022182537,12384.16976858728,957106.1785165453
2018-04-06,6609.88,-1.6020841086713755,59.6017132498654,138807480000.0,8164618.253406219,642880153.682325,-157.19089774797308,-157.19089774797308,19.0,102.43599570394674,176.13182937924753,0.076,163.29236506812438,12410.219745177452,969516.3982617228
2018-04-07,7001.93,5.931272579835034,59.7320425954564,147040530000.0,8182471.588418685,651062625.2707437,-142.7811494498596,-142.7811494498596,20.0,103.69357761018908,178.48494047298811,0.076,163.6494317683737,12437.3568143964,981953.7550761192
2018-04-08,6988.99,-0.1848061891507102,59.8651816060086,146768790000.0,8200709.809042275,659263335.0797861,-141.41725322661372,-141.41725322661372,17.0,103.21220313116036,177.58422170371873,0.076,164.0141961808455,12465.078909744258,994418.8339858635
2018-04-09,6653.91,-4.794398046069603,59.9950810764087,139732110000.0,8218504.257042288,667481839.3368284,-150.21815439895775,-150.21815439895775,21.0,104.1309812881036,179.3033837424361,0.076,164.37008514084576,12492.126470704277,1006910.9604565678
2018-04-10,6839.9,2.795198612545091,60.2424869894428,143637900000.0,8252395.478005864,675734234.8148342,-142.6035489032242,-142.6035489032242,18.0,98.39792153249378,168.57602956769853,0.076,165.04790956011726,12543.641126568911,1019454.6015831367
2018-04-11,6895.08,0.8067369405985403,60.3717394863368,144796680000.0,8270101.299498192,684004336.1143324,-139.1852580070291,-139.1852580070291,20.0,96.5498477556083,165.11802585052172,0.076,165.40202598996385,12570.553975237252,1032025.155558374
2018-04-12,7733.99,12.166791393283315,60.5117893379451,162413790000.0,8289286.210677412,692293622.3250098,-112.07124765851988,-112.07124765851988,18.0,106.53323190260312,183.79832959277394,0.076,165.78572421354824,12599.715040229667,1044624.8705986036
2018-04-13,7910.0,2.275798132658569,60.6642250044405,166110000000.0,8310167.808827467,700603790.1338373,-105.46617223678548,-105.46617223678548,23.0,102.86738509756984,176.93901908420258,0.076,166.2033561765493,12631.455069417747,1057256.3256680213
2018-04-14,8071.41,2.040581542351449,60.8179242105398,169499610000.0,8331222.494594494,708935012.6284318,-99.44549041048812,-99.44549041048812,23.0,103.09242762896406,177.36010503857153,0.076,166.62444989188987,12663.45819178363,1069919.783859805
2018-04-15,8315.73,3.026980416061132,60.9758298669516,174630330000.0,8352853.406431726,717287866.0348635,-91.13449856800273,-91.13449856800273,23.0,102.95180014503987,177.09697140817795,0.076,167.0570681286345,12696.337177776222,1082616.1210375812
2018-04-16,7986.2,-3.962730872695474,61.2488868702952,167710200000.0,8390258.475382905,725678124.5102464,-99.61689288730832,-99.61689288730832,23.0,99.92434947438794,171.4321890798843,0.076,167.8051695076581,12753.192882582014,1095369.3139201633
2018-04-17,7915.55,-0.8846510230146931,61.4013024866365,166226550000.0,8411137.326936508,734089261.8371829,-100.49656606523494,-100.49656606523494,26.0,98.56343848783624,168.8857348695045,0.076,168.22274653873015,12784.928736943491,1108154.2426571068
2018-04-18,8184.35,3.395847414266861,61.5552528555577,171871350000.0,8432226.418569548,742521488.2557524,-91.753102203197,-91.753102203197,24.0,89.23467762580347,151.43032256885056,0.076,168.64452837139095,12816.984156225712,1120971.2268133326
2018-04-19,8235.81,0.6287609889606305,61.7142367912448,172952010000.0,8454005.03989655,750975493.295649,-89.28119572285976,-89.28119572285976,25.0,86.77964790597434,146.83661965334477,0.076,169.08010079793095,12850.087660642754,1133821.3144739754
2018-04-20,8522.98,3.486845859727228,61.8816308796051,178982580000.0,8476935.736932205,759452429.0325812,-80.34396581985558,-80.34396581985558,26.0,87.7099104976644,148.57727067077116,0.076,169.5387147386441,12884.942320136952,1146706.2567941125
2018-04-21,8774.42,2.95014185179363,62.0570379255682,184262820000.0,8500964.099392904,767953393.1319741,-72.57885764744772,-72.57885764744772,32.0,87.4409596879414,148.07402620542996,0.076,170.0192819878581,12921.465431077217,1159627.7222251897
2018-04-22,8953.3,2.038653267110524,62.2350090313421,188019300000.0,8525343.702923575,776478736.8348976,-66.94413836995083,-66.94413836995083,31.0,87.68430233929344,148.52935423586234,0.076,170.5068740584715,12958.522428443834,1172586.2446536336
2018-04-23,8936.8,-0.1842895915472486,62.539924667743,187672800000.0,8567112.968183974,785045849.8030816,-66.65496036075551,-66.65496036075551,28.0,86.86889745106403,147.0036179964502,0.076,171.34225936367946,13022.011711639638,1185608.2563652731
2018-04-24,9447.34,5.712783099095886,62.7318380458864,198394140000.0,8593402.472039234,793639252.2751209,-52.42414595892117,-52.42414595892117,29.0,87.47395418549863,148.13576351084834,0.076,171.86804944078466,13061.971757499634,1198670.2281227729
2018-04-25,9057.41,-4.127405174366549,62.9180601490835,190205610000.0,8618912.349189522,802258164.6243104,-62.06778839492176,-62.06778839492176,64.0,84.23618731252436,142.07745024320073,0.076,172.37824698379043,13100.746770768072,1211770.9748935408
2018-04-26,9110.0,0.5806295618725477,63.1032363593768,191310000000.0,8644278.953339288,810902443.5776497,-60.044214178444,-60.044214178444,47.0,84.19114378416089,141.99316752112338,0.076,172.88557906678577,13139.304009075719,1224910.2789026166
2018-04-27,8970.01,-1.5366630076838583,63.2955860840954,188370210000.0,8670628.230698,819573071.8083477,-62.99595701220564,-62.99595701220564,55.0,84.2988910320499,142.19477764533806,0.076,173.41256461396,13179.35491066096,1238089.6338132776
2018-04-28,9326.79,3.97747605632548,63.4872102397997,195862590000.00003,8696878.115041055,828269949.9233887,-53.28867720491669,-53.28867720491669,54.0,75.83003358391659,126.34836453014339,0.076,173.9375623008211,13219.254734862403,1251308.88854814
2018-04-29,9319.82,-0.0747309631716985,63.8046982749885,195716220000.0,8740369.626710754,837010319.5500995,-52.90708963278127,-52.90708963278127,61.0,74.10837888754205,123.12690853946788,0.076,174.8073925342151,13285.361832600347,1264594.2503807403
2018-04-30,9264.85,-0.5898182582925404,63.9923419883177,194561850000.0,8766074.244975027,845776393.7950745,-53.72359684350488,-53.72359684350488,59.0,74.34147908793099,123.56307151602289,0.076,175.32148489950055,13324.432852362042,1277918.6832331023
2018-05-01,9016.75,-2.67786310625645,64.1722494806382,189351750000.0,8790719.10693674,854567112.9020112,-59.26772658966994,-59.26772658966994,56.0,75.06197461237011,124.9112191023809,0.076,175.8143821387348,13361.893042543845,1291280.5762756462
2018-05-02,9169.77,1.6970637979316416,64.3551569176605,192565170000.0,8815774.920227464,863382887.8222386,-54.94066499238555,-54.94066499238555,52.0,75.05566972715427,124.89942178303932,0.076,176.31549840454932,13399.977878745747,1304680.5541543919
2018-05-03,9654.87,5.2902090237814114,64.544658645927,202752270000.00003,8841734.061085891,872224621.8833245,-42.704286333460686,-42.704286333460686,55.0,73.76663401660352,122.48745623577082,0.076,176.83468122171783,13439.435772850555,1318119.9899272425
2018-05-04,9671.24,0.1695517391741008,64.7397986947966,203096040000.0,8868465.574629672,881093087.4579542,-41.88429182491012,-41.88429182491012,56.0,66.69351418531319,109.25266281217768,0.076,177.36931149259345,13480.067673437103,1331600.0576006796
2018-05-05,9731.84,0.626600105053754,64.9387225714563,204368640000.0,8895715.420747438,889988802.8787016,-40.0357396461046,-40.0357396461046,63.0,65.95204146397441,107.86526396552784,0.076,177.91430841494875,13521.487439536106,1345121.5450402156
2018-05-06,9518.1,-2.1962958700512902,65.2604255115794,199880100000.0,8939784.316654712,898928587.1953562,-44.63079778692264,-44.63079778692264,67.0,66.31263511643206,108.5399849675705,0.076,178.79568633309424,13588.472161315161,1358710.0172015307
2018-05-07,9436.26,-0.8598354713650891,65.4496470147035,198161460000.0,8965705.070507329,907894292.2658637,-46.08305213108245,-46.08305213108245,56.0,64.52335855518282,105.19199903906252,0.076,179.31410141014658,13627.87170717114,1372337.888908702
2018-05-08,9155.15,-2.9790404249141145,65.6344496080139,192258150000.0,8991020.49424848,916885312.760112,-52.06959838442834,-52.06959838442834,62.0,65.9191154798413,107.80365485827895,0.076,179.82040988496956,13666.351151257686,1386004.2400599597
2018-05-09,9247.08,1.0041342850745316,65.8184853942436,194188680000.0,9016230.87592378,925901543.6360358,-49.47752848547799,-49.47752848547799,53.0,62.56584561463276,101.52921938734774,0.076,180.32461751847563,13704.670931404147,1399708.910991364
2018-05-10,9089.79,-1.7009693870929987,66.0031880599242,190885590000.00003,9041532.610948522,934943076.2469844,-52.531978949085655,-52.531978949085655,63.0,63.04447399543967,102.42479982395017,0.076,180.8306522189704,13743.12956864175,1413452.0405600057
2018-05-11,8376.58,-7.846275876560416,66.1738357352964,175908180000.0,9064909.004835123,944007985.2518196,-67.89330281237308,-67.89330281237308,41.0,70.20264837491227,115.81874216651818,0.076,181.29818009670245,13778.661687349386,1427230.7022473551
2018-05-12,8426.84,0.6000062077840873,66.4663322104169,176963640000.0,9104977.015125602,953112962.2669452,-66.13734415076075,-66.13734415076075,44.0,56.76117966657875,90.66788004235242,0.076,182.09954030251203,13839.565062990914,1441070.267310346
2018-05-13,8629.0,2.3990012863659427,66.6376244009585,181209000000.0,9128441.69876144,962241403.9657066,-61.09797370774461,-61.09797370774461,40.0,56.815954206593034,90.77037084404284,0.076,182.56883397522878,13875.231382117387,1454945.4986924634
2018-05-14,8812.8,2.13002665430524,66.8072463687952,185068800000.0,9151677.584766466,971393081.5504732,-56.54888946946431,-56.54888946946431,40.0,56.850625256217945,90.83524521214487,0.076,183.03355169532935,13910.54992884503,1468856.0486213085
2018-05-15,8512.1,-3.4120824255628013,66.975788171064,178754100000.0,9174765.50288548,980567847.0533586,-62.45962498571223,-62.45962498571223,40.0,57.44864088719578,91.95421584022024,0.076,183.49531005770956,13945.643564385926,1482801.6921856944
2018-05-16,8293.94,-2.562939815086762,67.1379129794608,174172740000.0,9196974.380748054,989764821.4341066,-66.50798106222896,-66.50798106222896,32.0,56.39380818809885,89.98047678277631,0.076,183.93948761496105,13979.40105873704,1496781.0932444313
2018-05-17,8198.08,-1.155783620330031,67.2975140586991,172159680000.0,9218837.542287547,998983658.9763942,-67.90933904715959,-67.90933904715959,31.0,56.46542127967697,90.11447486227559,0.076,184.37675084575093,14012.633064277072,1510793.7263087083
2018-05-18,8229.25,0.3802109762285788,67.5838640582171,172814250000.0,9258063.569618782,1008241722.546013,-66.63655004312109,-66.63655004312109,37.0,55.256774830743595,87.85292883232879,0.076,185.16127139237562,14072.256625820548,1524865.982934529
2018-05-19,8281.79,0.638454294133739,67.7435500114727,173917590000.00003,9279938.357735988,1017521660.903749,-64.94447493265791,-64.94447493265791,31.0,55.25804328071816,87.85530227909372,0.076,185.59876715471972,14105.506303758697,1538971.4892382876
2018-05-20,8516.28,2.8313927303155406,67.9095598429011,178841880000.0,9302679.430534398,1026824340.3342834,-59.56045021302274,-59.56045021302274,32.0,54.791655183475214,86.98262511972669,0.076,186.05358861068794,14140.072734412282,1553111.5619726998
2018-05-21,8404.25,-1.315480467997776,68.0757287882149,176489250000.0,9325442.299755467,1036149782.6340388,-61.29495085020114,-61.29495085020114,41.0,53.95134008848166,85.41027841017888,0.076,186.5088459951093,14174.672295628308,1567286.2342683282
