Date,Price,Returns,Energy_TWh_Annual,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR,CEIR_winsorized,fear_greed,volatility_30d,EPUREG,weighted_elec_price,daily_energy_gwh,daily_elec_cost_enhanced,CEIR_enhanced,daily_energy_twh,daily_cost_millions,CEIR_corrected,cost_to_mcap_ratio,CEIR_methodology,daily_energy_twh_fixed,daily_cost_millions_fixed,cumulative_cost_millions,CEIR_fixed,YearMonth,date,canada,usa,russia,kazakhstan,iran,china,malaysia,others,weighted_price_calculated,DateTime,ETH_TWh_Annual,ETH_TWh_Min,ETH_BTC_ratio
2020-09-16,10999.54,1.2132293063199295,69.1587124766966,230990340000.00003,9473796.229684468,8753479629.45339,-1.0292661183199183,-1.0292661183199183,43.0,47.05585902328772,72.50787188648061,0.069832885,189.4759245936893,13231.650452419775,12925124.382633615,0.1894759245936893,13231.65045241978,12925124.382633612,5.59552593525496e-05,Cumulative cost using time-varying electricity prices,0.18947592459368934,9473.796229684467,8748439.211469574,0.026403605765147446,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-16,6.36530450388,3.87701664,0.09203908337687494
2020-09-17,10938.97,-0.550659391210917,69.3661886141266,229718370000.0,9502217.618373508,8762981847.071764,-1.1733026701904794,-1.1733026701904794,48.0,46.570890463247295,71.6004280905084,0.069832885,190.0443523674701,13271.34540377702,12938395.728037396,0.1900443523674701,13271.34540377702,12938395.72803739,5.632286058810791e-05,Cumulative cost using time-varying electricity prices,0.19004435236747014,9502.217618373506,8757941.429087948,0.02622972211677863,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-17,6.38004676884,4.096361685,0.09197632011081386
2020-09-18,10887.7,-0.4686912936044174,69.5742871799689,228641700000.00003,9530724.271228615,8772512571.342993,-1.294760185024291,-1.294760185024291,49.0,45.71936990537389,70.00711439751228,0.069832885,190.6144854245724,13311.159439988336,12951706.887477385,0.1906144854245723,13311.159439988336,12951706.88747738,5.664630243510863e-05,Cumulative cost using time-varying electricity prices,0.19061448542457235,9530.724271228617,8767472.153359177,0.026078406181466805,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-18,6.39398630886,3.943994539,0.09190157122732101
2020-09-19,11088.12,1.84079282125702,69.7830100415088,232850520000.00003,9559316.444042305,8782071887.787035,-0.8140994621033036,-0.8140994621033036,48.0,46.00883528299394,70.54874447977612,0.069832885,191.18632888084605,13351.0929183083,12965057.980395691,0.191186328880846,13351.0929183083,12965057.980395688,5.567974673363704e-05,Cumulative cost using time-varying electricity prices,0.19118632888084602,9559.3164440423,8777031.46980322,0.0265295300354233,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-19,6.4073478249,4.016468939,0.09181816349120994
2020-09-20,10894.91,-1.7424955718372548,69.9836361953783,228793110000.0,9586799.478818946,8791658687.265854,-1.2747185029182777,-1.2747185029182777,52.0,45.85582590414231,70.2624425975409,0.069832885,191.73598957637887,13389.477310448465,12978447.45770614,0.1917359895763788,13389.477310448468,12978447.457706137,5.672569186067769e-05,Cumulative cost using time-varying electricity prices,0.19173598957637888,9586.799478818944,8786618.26928204,0.026038812998154165,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-20,6.4198976616,4.064678553,0.09173426833205858
2020-09-21,10483.0,-3.7807563348389306,69.965091704317,220143000000.0,9584259.137577672,8801242946.40343,-2.2561586040656256,-2.2561586040656256,48.0,47.53023459523212,73.39549472472365,0.069832885,191.68518275155344,13385.929323293216,12991833.387029434,0.1916851827515534,13385.929323293216,12991833.38702943,5.9015428094599554e-05,Cumulative cost using time-varying electricity prices,0.19168518275155344,9584.259137577674,8796202.528419618,0.025027049944420995,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-21,6.43031589684,4.119408402,0.09190748900916877
2020-09-22,10516.26,0.3172755890489487,69.9926154181908,220841460000.0,9588029.509341206,8810830975.912771,-2.174430544902746,-2.174430544902746,39.0,47.50352385556224,73.34551520646943,0.069832885,191.7605901868241,13391.195242048614,13005224.582271485,0.1917605901868241,13391.195242048614,13005224.58227148,5.8889415883555016e-05,Cumulative cost using time-varying electricity prices,0.1917605901868241,9588.029509341204,8805790.557928959,0.025079117944856035,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-22,6.44114449368,4.019960019,0.09202605810906693
2020-09-23,10219.73,-2.8197286868145155,69.3549336916667,214614330000.0,9500675.84817352,8820331651.760944,-2.878085655082125,-2.878085655082125,43.0,48.1709260514976,74.59431777228791,0.069832885,190.0135169634704,13269.192078555578,13018493.774350038,0.1900135169634704,13269.192078555578,13018493.774350034,6.065994649262253e-05,Cumulative cost using time-varying electricity prices,0.1900135169634704,9500.675848173521,8815291.233777132,0.024345687999243006,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-23,6.45096613212,4.130342893,0.09301380289395492
2020-09-24,10633.25,4.046290851128176,69.2188457885684,223298250000.0,9482033.669666903,8829813685.43061,-1.8915178275571385,-1.8915178275571385,39.0,48.84406821929592,75.85386062579775,0.069832885,189.6406733933381,13243.15533639954,13031736.929686436,0.1896406733933381,13243.155336399535,13031736.929686433,5.8360228661381954e-05,Cumulative cost using time-varying electricity prices,0.1896406733933381,9482.033669666906,8824773.2674468,0.025303567948166118,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-24,6.46577157306,4.21054431983084,0.09341056614566999
2020-09-25,10722.73,0.8415112971104755,69.4265023259341,225177330000.0,9510479.770675903,8839324165.201286,-1.6769008266892158,-1.6769008266892158,46.0,48.264094986573774,74.76864984054644,0.069832885,190.2095954135181,13282.884802408733,13045019.814488843,0.190209595413518,13282.884802408737,13045019.81448884,5.793220753833808e-05,Cumulative cost using time-varying electricity prices,0.19020959541351806,9510.479770675904,8834283.747217475,0.02548903074014618,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-25,6.48069455124,4.248387084043,0.09334611904853449
