Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1673222400,2023-01-09T00:00:00,15.976159656972177,5.561074017645714,9.905544581318855,140.0470155530181,48.74837483868233,86.83200379984108
1673308800,2023-01-10T00:00:00,16.19044362978662,5.63566322176,10.038405011569333,141.92542885870952,49.40222380194815,87.99665833141675
1673395200,2023-01-11T00:00:00,16.248892864847285,5.656008569417144,10.074644728501848,142.43779485325132,49.58057111951067,88.3143356900472
1673481600,2023-01-12T00:00:00,16.236057885388565,5.6254904879085705,10.051276778492584,142.32528342331616,49.313049617006534,88.10949224026601
1673568000,2023-01-13T00:00:00,16.008003255759608,5.518677352685714,9.893651835555428,140.32615653998872,48.376725673642966,86.72775199047888
1673654400,2023-01-14T00:00:00,16.44052791903335,5.605145140251429,10.10112204008586,144.11766773824638,49.134702299444015,88.54643580339265
1673740800,2023-01-15T00:00:00,16.855401913929406,5.6706159720228575,10.2933995734014,147.75445317750518,49.708619610752365,90.23194066043668
1673827200,2023-01-16T00:00:00,17.224253373725087,5.721872881028572,10.458628069694267,150.98780507407415,50.15793767509645,91.68033365893997
1673913600,2023-01-17T00:00:00,17.503262470227234,5.73713438272,10.564266735777725,153.43359881401196,50.29171999892352,92.60636220582754
1674000000,2023-01-18T00:00:00,17.911540381714286,5.774566857279999,10.713086878837354,157.01256298610744,50.61985307091648,93.91091957988824
1674086400,2023-01-19T00:00:00,18.277826033142855,5.81969414208,10.847555233645178,160.22342300653028,51.015438849473284,95.08966917813363
1674172800,2023-01-20T00:00:00,18.285878736,5.7512263690514285,10.770415181014302,160.294012999776,50.415250351104824,94.4134594767714
1674259200,2023-01-21T00:00:00,18.122827356,5.655370616480001,10.627193716559413,158.86470460269598,49.574978824063685,93.1579801193598
1674345600,2023-01-22T00:00:00,18.374521133142856,5.658502549142857,10.673514081992225,161.0710522531303,49.60243334578628,93.56402444274386
1674432000,2023-01-23T00:00:00,18.82139104457143,5.720190890514286,10.831263650592225,164.98831389671312,50.143193346248225,94.94685716109146
1674518400,2023-01-24T00:00:00,18.552308024571428,5.568774049874286,10.582542836243249,162.62953214339313,48.81587332119799,92.76657050250832
1674604800,2023-01-25T00:00:00,19.35955691485714,5.765055125142857,10.984921436648944,169.7058759156377,50.53647322700228,96.29382131366465
1674691200,2023-01-26T00:00:00,19.691105590285712,5.821135440937142,11.119219385484412,172.61223160444453,51.02807327525499,97.47107713315634
1674777600,2023-01-27T00:00:00,20.240803362857143,5.944512033645714,11.380244206267573,177.4308822788057,52.109592486938325,99.75922071214153
1674864000,2023-01-28T00:00:00,20.950029154285712,6.112752951017142,11.728454303617113,183.6479555664686,53.584392368616264,102.81163042550762
1674950400,2023-01-29T00:00:00,21.25114899428571,6.200613028777142,11.897030216201467,186.28757208390854,54.35457381026043,104.28936687522206
1675036800,2023-01-30T00:00:00,20.99096516571429,6.1246971694628565,11.751371509883345,184.0068006426514,53.68909538751141,103.01252265563741
1675123200,2023-01-31T00:00:00,20.82539921142857,6.076388703245713,11.658682725787907,182.55544948738284,53.26562337265192,102.20001277425679
1675209600,2023-02-01T00:00:00,20.385578482285716,5.899265663497142,11.278618804642921,178.69998097571656,51.71296280621595,98.86837244149986
1675296000,2023-02-02T00:00:00,20.5339541568,5.8812685600685715,11.21680481437548,180.0006421385088,51.55520019756109,98.32651100281545
1675382400,2023-02-03T00:00:00,20.44272206729143,5.798431495108572,11.032841208045046,179.20090164187667,50.82905048612173,96.71388602972289
1675468800,2023-02-04T00:00:00,20.11610197536,5.654694038834285,10.717127321530672,176.33774991600575,49.56904794442134,93.94633810053787
1675555200,2023-02-05T00:00:00,20.156561383679996,5.612363759154285,10.59128470743904,176.6924170893389,49.19798071274647,92.84320174541062
1675641600,2023-02-06T00:00:00,20.53841906550857,5.67107052512,10.660474789149747,180.03978152824814,49.71260422320192,93.44972200168671
1675728000,2023-02-07T00:00:00,21.254999129554285,5.829578766217144,10.922914052003211,186.32132236967286,51.102087464659476,95.75026457986014
1675814400,2023-02-08T00:00:00,21.107892315839997,5.835449391794286,10.926655300857428,185.03178404065343,51.15354936846871,95.7830603673162
1675900800,2023-02-09T00:00:00,21.239882069897142,5.935250896937142,11.089380080733633,186.18880622471835,52.02840936255099,97.20950578771105
1675987200,2023-02-10T00:00:00,21.328894399405716,6.017440285257142,11.221244282344617,186.9690883051905,52.74888154056411,98.36542737903291
1676073600,2023-02-11T00:00:00,21.404332205622858,6.08788833238857,11.345136112962015,187.63037611448996,53.36642912171822,99.45146316622504
1676160000,2023-02-12T00:00:00,21.409256454445714,6.143460554697142,11.44052439885363,187.6735420796711,53.85357522247515,100.28763688035092
1676246400,2023-02-13T00:00:00,21.37404801833143,6.185898335314285,11.511695376060189,187.36490492869328,54.225584807365024,100.91152166654362
1676332800,2023-02-14T00:00:00,21.42684349714286,6.251876780388572,11.626960533715359,187.82771009595427,54.803951856886215,101.92193603854886
1676419200,2023-02-15T00:00:00,21.913638891428572,6.393912858765714,11.891112873191267,192.09495852226286,56.049040119940244,104.23749544639465
1676505600,2023-02-16T00:00:00,22.237879782857142,6.488519145531428,12.067057409704981,194.93725417652567,56.8783588297285,105.77982525347386
1676592000,2023-02-17T00:00:00,22.58363386285714,6.589402502651429,12.254675760633203,197.9681344418057,57.76270233824242,107.42448771771066
1676678400,2023-02-18T00:00:00,22.969330045714287,6.701940077782857,12.463968104448691,201.34914718073142,58.749206721844516,109.25914440359722
1676764800,2023-02-19T00:00:00,22.963958845714284,6.700372880982857,12.461053502004939,201.3020632415314,58.73546867469572,109.23359499857528
1676851200,2023-02-20T00:00:00,22.783770617142856,6.647797960068571,12.363277017917609,199.72253322987427,58.27459691796109,108.37648633906575
1676937600,2023-02-21T00:00:00,23.044041977142854,6.723739359108571,12.50450943188376,202.00407197163426,58.94029922194573,109.61452967989305
1677024000,2023-02-22T00:00:00,22.753605629005712,6.589381404617143,12.261934097834539,199.4581069438641,57.76251739287387,107.48811430161756
1677110400,2023-02-23T00:00:00,22.801135130674282,6.542648178262857,12.183935201558679,199.8747505554908,57.3528539306522,106.80437597686338
1677196800,2023-02-24T00:00:00,22.395111491451427,6.367398661965715,11.879212229234367,196.3155473340632,55.816616670791454,104.13317440146845
1677283200,2023-02-25T00:00:00,21.527849641851425,6.072691715405715,11.33725683905878,188.71312996046962,53.2332155772465,99.38239345118927
1677369600,2023-02-26T00:00:00,22.207126181074283,6.205425271314285,11.593737492786829,194.66766810329722,54.39675792834104,101.63070286176935
1677456000,2023-02-27T00:00:00,22.53293962765714,6.245936858422858,11.677103069674184,197.52374877604254,54.75188250093477,102.36148550876388
1677542400,2023-02-28T00:00:00,22.38828779382857,6.150346136777143,11.507179724440755,196.25573080070126,53.913934234988446,100.87193746444765
1677628800,2023-03-01T00:00:00,23.15764386768,6.424442224571428,11.974068809265404,202.99990614408287,56.31666054059315,104.96468718202053
1677715200,2023-03-02T00:00:00,22.696344251725716,6.350446526468572,11.797415833089403,198.95615371062763,55.6680142510235,103.41614719286169
1677801600,2023-03-03T00:00:00,23.49721846237714,6.640904665051428,12.281252080627395,205.97661704119807,58.21417029384083,107.65745573877973
1677888000,2023-03-04T00:00:00,24.347049523405712,6.930525694857143,12.781949639445914,213.42623612217452,60.75298824111771,112.04657053938286
1677974400,2023-03-05T00:00:00,23.83650827561143,6.847025347314285,12.584603815601273,208.9508315440098,60.02102419455702,110.31663704756076
1678060800,2023-03-06T00:00:00,23.328139034742858,6.795640499588571,12.427927710134254,204.4944667785559,59.570584619393415,108.94321430703687
1678147200,2023-03-07T00:00:00,23.579946,6.975487286559999,12.6881855568239,206.701806636,61.14712155398496,111.22463459111829
1678233600,2023-03-08T00:00:00,22.619049109714286,6.737832545897143,12.228279769039984,198.27858449575544,59.06384009733436,107.19310045540449
1678320000,2023-03-09T00:00:00,22.272333896571432,6.68002468224,12.096601421540017,195.23927893734512,58.557096364515836,106.0388080612198
1678406400,2023-03-10T00:00:00,21.32424182228571,6.476342368525714,11.692160748305932,186.92830381415655,56.77161720249641,102.4934811196498
1678492800,2023-03-11T00:00:00,21.346234667999997,6.572098333097142,11.827597945683106,187.12109309968795,57.611013987929546,103.6807235918581
1678579200,2023-03-12T00:00:00,21.220536725142857,6.622595622834285,11.881297415865278,186.01922493260227,58.05367322976535,104.15145314747504
1678665600,2023-03-13T00:00:00,21.66479331085714,6.7948347227428565,12.183873613081436,189.91357816297372,59.563521179563885,106.80383609227188
1678752000,2023-03-14T00:00:00,21.19438293942857,6.683640279085714,11.977568013994048,185.78996084703087,58.588790686465366,104.99536121067183
1678838400,2023-03-15T00:00:00,21.41360077542857,6.784482430514285,12.152277358568497,187.71162439740687,59.47277298588823,106.52686332521145
1678924800,2023-03-16T00:00:00,21.32562941142857,6.788012464777141,12.152679704677833,186.94046742058285,59.503717266236436,106.53039029120588
1679011200,2023-03-17T00:00:00,21.685184089714287,6.867728371177143,12.301914320109162,190.09232373043545,60.20250690173884,107.83858093007692
1679097600,2023-03-18T00:00:00,21.74419515257143,6.848236308457143,12.274200539062292,190.60961470744115,60.031639479935315,107.59564192542005
