day,market_price,peg_deviation_bps,supply,action,action_magnitude,in_band
331,0.5692890299322709,-4307.109700677291,999777813.4267281,hold,0.0,False
332,0.5854835003073566,-4145.164996926434,999778812.4267281,hold,0.0,False
333,0.6003951244339782,-3996.0487556602175,999779811.4267281,hold,0.0,False
334,0.6378395785607642,-3621.604214392358,999780810.4267281,hold,0.0,False
335,0.6222955867282403,-3777.044132717597,999781809.4267281,hold,0.0,False
336,0.6348603743030534,-3651.396256969466,999782808.4267281,hold,0.0,False
337,0.6827850733300598,-3172.1492666994022,999783807.4267281,hold,0.0,False
338,0.6965102304270622,-3034.8976957293785,999784806.4267281,hold,0.0,False
339,0.7413297918582992,-2586.7020814170082,999785805.4267281,hold,0.0,False
340,0.7248486384329681,-2751.5136156703193,999786804.4267281,hold,0.0,False
341,0.7597809179916687,-2402.190820083313,999787803.4267281,hold,0.0,False
342,0.796765436551392,-2032.3456344860801,999788802.4267281,hold,0.0,False
343,0.7317406890212451,-2682.5931097875487,999789801.4267281,hold,0.0,False
344,0.7420203403101985,-2579.796596898015,999790800.4267281,hold,0.0,False
345,0.7483495587599994,-2516.5044124000055,999791799.4267281,hold,0.0,False
346,0.779614308618513,-2203.85691381487,999792798.4267281,hold,0.0,False
347,0.786651529989436,-2133.48470010564,999793797.4267281,hold,0.0,False
348,0.8906300115252892,-1093.699884747108,999794796.4267281,hold,0.0,False
349,0.9699924317311261,-300.07568268873854,999795795.4267281,hold,0.0,True
350,0.9986205273877716,-13.794726122283718,999796794.4267281,hold,0.0,True
351,1.0111154637838862,111.1546378388617,999797793.4267281,hold,0.0,True
352,0.9534942974226159,-465.0570257738407,999798792.4267281,hold,0.0,True
353,0.962260883794242,-377.39116205757983,999799791.4267281,hold,0.0,True
354,0.9670767802462679,-329.2321975373214,999800790.4267281,hold,0.0,True
355,1.0898322410816748,898.3224108167476,999801789.4267281,hold,0.0,False
356,1.1183832665524152,1183.8326655241515,999802788.4267281,hold,0.0,False
357,1.0105150029425085,105.15002942508511,999803787.4267281,hold,0.0,True
358,0.9810685653699209,-189.3143463007907,999804786.4267281,hold,0.0,True
359,1.0326621502231754,326.6215022317542,999805785.4267281,hold,0.0,True
360,1.0198897845482222,198.89784548222212,999806784.4267281,hold,0.0,True
361,1.0627520423565207,627.5204235652066,999807783.4267281,hold,0.0,False
